Maxmud,Ethan,5,4,1,2,3
Edow,Talib,5,3,4,1,2
Ahmed,Odin,5,1,3,4,2
Nguyen,Ermais,1,5,4,2,3
Brandl,Jaron,1,2,4,5,3
Zobitz,Derek,3,1,5,4,2
Yang,Everett,2,4,1,5,3
Mohamed,Bailey,2,3,1,5,4
Ramales,Rahma,5,1,2,3,4
Bryan,Collin,3,2,5,4,1
Adan,Thor,2,3,1,5,4
Kempenich,Guleid,5,3,1,4,2
Abdullahi,Bailey,1,5,2,4,3
Ochoa Martinez,Chris,4,1,3,2,5
Abdi,Mohamed,1,2,3,5,4
Adan,Katelynn,5,1,4,3,2
Carrillo,Taha,2,5,4,3,1
Owusu,Keenan,2,3,4,1,5
Doree,Skyler,2,5,1,4,3
Mohamed,Jacob,5,3,4,1,2
Xiong,Vincent,4,2,5,1,3
Chen,Ivan,4,3,2,5,1
Pattanayak,Sumayyah,1,4,3,5,2
Bashige,Katelynn,3,2,1,5,4
Carrillo,Ayden,3,2,5,4,1
Clark,Khalid,1,2,4,5,3
Edow,Joshua,5,3,4,1,2
Yang,Brandon,3,2,4,5,1
Hopper,Odin,5,4,1,3,2
Vo,Chris,2,5,4,1,3
Sorensen,Nathan,5,4,1,2,3
Mensah,Katelynn,2,4,1,3,5
Hagen,Anna,5,4,3,1,2
Bashige,Ariana,5,2,4,1,3
Mckinnon,Nikita,3,2,4,1,5
Atto,Keenan,3,2,1,4,5
Ahmed,Elias,4,5,2,3,1
Mensah,Hannah,4,2,3,5,1
Averbeck,Kebba,2,4,1,5,3
Ng,Josh,1,3,2,5,4
Crowe,Josh,4,1,2,5,3
Ahmed,Miguel,5,3,2,4,1
Ochoa Martinez,Jocelyn,4,1,2,5,3
Lee,Chris,1,5,3,2,4
Belayneh,Walta,5,3,4,2,1
Osman,Emily,1,5,4,3,2
Osman,Hodan,2,1,4,5,3
OKeefe,Sumayyah,2,1,4,3,5
Edow,Najma,1,4,5,3,2
Warns,Kwadwo,4,5,1,3,2
Ahmed,Mohamed,1,3,5,4,2
Moktar,Rahma,5,2,3,1,4
Vo,Zak,1,4,2,3,5
Ochoa Martinez,Amy,2,1,4,3,5
Fatty,Johnny,3,5,1,2,4
Abukar,Luke,4,1,2,5,3
Kempenich,Khaalid,3,2,4,5,1
Mensah,Sean,4,2,3,1,5
Abdullahi,Pao,3,1,5,4,2
Steinmetz,Zakaria,1,5,2,4,3
Abukar,Tommy,1,5,2,4,3
Atto,Christopher,5,1,3,4,2
Belayneh,Justin,5,3,4,1,2
Hopper,Drew,1,2,3,4,5
Lee,Adna,2,4,1,5,3
Maxmud,Katie,2,3,1,5,4
Abdi,Liban,1,5,4,3,2
Leal,Miguel,1,5,2,4,3
Czech,Jaron,4,3,2,1,5
Bashige,Long,1,4,3,2,5
Alvarado,Awal,5,2,3,1,4
Mensah,Matt,4,1,5,3,2
Memeti,Long,1,4,5,3,2
Carrillo,Yuva,2,1,3,4,5
Vang,Lucy,2,5,1,4,3
Moktar,Jocelyn,1,2,5,3,4
Lee,Bjorn,2,1,3,4,5
Abdullahi,Betelehem,3,4,2,1,5
Owusu,Miriam,1,2,3,5,4
Chafee,Najma,2,5,4,3,1
Adem,Katie,3,1,2,5,4
Mccarl,Leah,2,1,5,4,3
Edow,Vinny,4,5,1,2,3
Averbeck,Linus,4,2,1,3,5
Mensah,Elliott,4,5,3,1,2
Boyer,Skyler,5,3,1,2,4
Ali,Khaalid,4,5,2,3,1
Mohammad,Krystal,1,3,5,4,2
Yusuf,Ivan,2,1,4,5,3
Adan,Katelynn,2,4,3,5,1
Hersi,Sumayyah,2,5,3,1,4
Averbeck,Adna,1,5,2,4,3
Memeti,Guleid,1,3,5,2,4
Chen,Hodan,1,4,5,3,2
Fatty,Jason,5,4,2,1,3
Chen,Gabriel,4,5,1,3,2
Memeti,Ivan,3,2,1,5,4
Boyer,Amy,3,4,2,5,1
Saw Tamalar,Timothy,4,2,1,5,3
Abdullahi,Esmeralda,3,2,1,5,4
Xiong,Leah,1,4,5,2,3
Ochoa Martinez,Rudwan,2,1,4,5,3
Warns,Miguel,5,2,3,4,1
Abdi,Jeffrey,1,4,5,2,3
Abukar,Brian,4,5,2,1,3
Pattanayak,Xera,2,5,3,1,4
Ochoa Martinez,Ella,3,2,5,1,4
Crowe,Xera,2,1,5,3,4
Gottimukala,Erica,2,3,5,4,1
Yusuf,Ivan,1,5,4,2,3
Mccarl,Karen,1,4,2,3,5
Xiong,Rahma,4,2,5,1,3
Mccarl,Brian,2,4,5,1,3
Atto,Doua,5,3,2,4,1
Owusu,Moua,2,4,1,5,3
Tran,Pavel,1,5,3,2,4
Larson,Lucy,2,4,3,1,5
Mohamed,Jaron,3,5,2,1,4
Abukar,Zakaria,1,5,3,4,2
Tran,Saryn,1,5,3,2,4
Larson,Chelsey,3,4,5,2,1
Hersi,Hannah,1,5,3,2,4
Averbeck,Sundus,2,1,4,5,3
